2023-06-06 17:47:29 INFO  [FEBS-Auth,,,] main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@51a719e7, org.springframework.security.web.context.SecurityContextPersistenceFilter@359e27d2, org.springframework.security.web.header.HeaderWriterFilter@16a09809, org.springframework.security.web.authentication.logout.LogoutFilter@ff4b223, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6c2883b1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@214fba74, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@26101efc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@fd4459b, org.springframework.security.web.session.SessionManagementFilter@4809c771, org.springframework.security.web.access.ExceptionTranslationFilter@dd20ebc, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@402a69f]
2023-06-06 17:47:29 INFO  [FEBS-Auth,,,] main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ab1ad9, org.springframework.security.web.context.SecurityContextPersistenceFilter@38929da, org.springframework.security.web.header.HeaderWriterFilter@789dd6bf, org.springframework.security.web.authentication.logout.LogoutFilter@8f4b803, com.ktb.auth.filter.ValidateCodeFilter@13e00016, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69d667a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7fe87c0e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5ee6fdc4, org.springframework.security.web.session.SessionManagementFilter@1e6d30c0, org.springframework.security.web.access.ExceptionTranslationFilter@182e4365, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@965bcbc]
2023-06-06 17:47:29 INFO  [FEBS-Auth,,,] main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1242d96b, org.springframework.security.web.context.SecurityContextPersistenceFilter@686b1e2d, org.springframework.security.web.header.HeaderWriterFilter@671da0f9, org.springframework.security.web.authentication.logout.LogoutFilter@5501d1c8, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@126675fd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e7e0259, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@646e6d07, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ecdf528, org.springframework.security.web.session.SessionManagementFilter@4d2f9e3c, org.springframework.security.web.access.ExceptionTranslationFilter@4404a6b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5aa7cfdf]
2023-06-06 17:47:29 INFO  [FEBS-Auth,,,] main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-06-06 17:47:29 INFO  [FEBS-Auth,,,] main org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2023-06-06 17:47:30 INFO  [FEBS-Auth,,,] main org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService
2023-06-06 17:47:31 INFO  [FEBS-Auth,,,] main org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 2 endpoint(s) beneath base path '/actuator'
2023-06-06 17:47:31 INFO  [FEBS-Auth,,,] main org.springframework.cloud.netflix.eureka.InstanceInfoFactory Setting initial instance status as: STARTING
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON encoding codec LegacyJacksonJson
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON decoding codec LegacyJacksonJson
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML encoding codec XStreamXml
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML decoding codec XStreamXml
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver Resolving eureka endpoints via configuration
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Disable delta property : false
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Single vip registry refresh property : null
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Force full registry fetch : false
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Application is null : false
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Registered Applications size is zero : true
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Application version is -1: true
2023-06-06 17:47:32 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Getting all instance registry info from the eureka server
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient The response status is 200
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Starting heartbeat executor: renew interval is: 20
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main com.netflix.discovery.InstanceInfoReplicator InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Discovery Client initialized at timestamp 1686044853328 with initial instances count: 0
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry Registering application FEBS-AUTH with eureka with status UP
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main com.netflix.discovery.DiscoveryClient Saw local status change event StatusChangeEvent [timestamp=1686044853338, current=UP, previous=STARTING]
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] DiscoveryClient-InstanceInfoReplicator-0 com.netflix.discovery.DiscoveryClient DiscoveryClient_FEBS-AUTH/192.168.0.47:FEBS-Auth:8101: registering service...
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-8101"]
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 8101 (http) with context path ''
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration Updating port to 8101
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] main com.ktb.auth.FebsAuthApplication Started FebsAuthApplication in 37.642 seconds (JVM running for 43.421)
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] DiscoveryClient-InstanceInfoReplicator-0 com.netflix.discovery.DiscoveryClient DiscoveryClient_FEBS-AUTH/192.168.0.47:FEBS-Auth:8101 - registration status: 204
2023-06-06 17:47:33 INFO  [FEBS-Auth,,,] RMI TCP Connection(16)-192.168.0.47 org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring DispatcherServlet 'dispatcherServlet'
